Model,Sample,RMSE (%),RMSE (bps),R2
PCA(3),Train,0.029275440168568666,2.9275440168568667,0.9997650301819977
PCA(3),Stress,0.041526207582890884,4.152620758289088,0.9992575316915687
AE(2),Train,0.14042936224217706,14.042936224217705,0.9945934395849819
AE(2),Stress,0.2688488748559187,26.884887485591868,0.9688792663750833
AE(3),Train,0.07511316111870249,7.511316111870249,0.998453188855631
AE(3),Stress,0.19957235453851555,19.957235453851556,0.9828511839440214
AE(4),Train,0.11099779229013296,11.099779229013295,0.99662220028199
AE(4),Stress,0.29256783912250045,29.256783912250047,0.9631458373794799
