Model,Sample,RMSE (%),RMSE (bps),R2
PCA(3),Train,0.05470713064071209,5.470713064071209,0.9993187468639481
PCA(3),Stress,0.0743265833242699,7.432658332426991,0.9983183905134184
AE(3),Train,0.09113277282346903,9.113277282346903,0.9981095299143603
AE(3),Stress,0.21813676391614972,21.813676391614973,0.9855157990349633
